node1,node2,dist,real_dist
Petrovskaya,Slavyansk-na-Kubani,0.002541177258782134,
Petushki,Pokrov,0.0028070223160027307,20522.0
Plast,Yemanzhelinsk,0.006855355672608021,
Plavsk,Tula,0.00649483545711111,
Pochep,Trubchevsk,0.005073098427385194,54506.0
Orekhovo-Zuyevo,Pokrov,0.002299780790984429,22928.0
Degtyarsk,Polevskoy,0.0031794755686332,39638.0
Polyarnyy,Severomorsk,0.0019372842340384141,89412.0
Poronaysk,Yuzhno-Sakhalinsk,0.02185773628327504,289640.0
Borisoglebsk,Povorino,0.002643716777953073,40593.0
Nefteyugansk,Poykovskiy,0.006153295142701218,57945.0
Petrovskaya,Primorsko-Akhtarsk,0.006121359242307201,
Priozërsk,Sortavala,0.010191840758820278,121705.0
Privolzhsk,Volgorechensk,0.0013700028098953042,13644.0
Engel’s,Privolzhskiy,0.0011749969699501287,
Promyshlennaya,Topki,0.00424121518059475,83825.0
Protvino,Serpukhov,0.002054427427135787,16135.0
Pugachev,Yershov,0.008988138756076666,
Pushchino,Serpukhov,0.0022594394945925265,25416.0
Pyatigorsk,Svobody,0.0002721845846028141,7023.0
Pokachi,Raduzhny,0.016230542547290533,292571.0
Ramenki,Rybnoye,0.001354021192961743,185784.0
Rasskazovo,Tambov,0.0045276897393542286,33744.0
